,Link,Rank,Title,Year
187,https://www.imdb.com/title/tt0107207/,188,In the Name of the Father,1993
188,https://www.imdb.com/title/tt0092005/,189,Stand by Me,1986
189,https://www.imdb.com/title/tt0353969/,190,Memories of Murder,2003
190,https://www.imdb.com/title/tt0018455/,191,Sunrise,1927
191,https://www.imdb.com/title/tt0025316/,192,It Happened One Night,1934
192,https://www.imdb.com/title/tt0091763/,193,Platoon,1986
193,https://www.imdb.com/title/tt0758758/,194,Into the Wild,2007
194,https://www.imdb.com/title/tt0060827/,195,Persona,1966
195,https://www.imdb.com/title/tt0074958/,196,Network,1976
196,https://www.imdb.com/title/tt0052618/,197,Ben-Hur,1959
197,https://www.imdb.com/title/tt0079470/,198,Monty Python's Life of Brian,1979
198,https://www.imdb.com/title/tt2024544/,199,12 Years a Slave,2013
199,https://www.imdb.com/title/tt0405159/,200,Million Dollar Baby,2004
200,https://www.imdb.com/title/tt0112471/,201,Before Sunrise,1995
201,https://www.imdb.com/title/tt0395169/,202,Hotel Rwanda,2004
202,https://www.imdb.com/title/tt1392214/,203,Prisoners,2013
203,https://www.imdb.com/title/tt1392190/,204,Mad Max: Fury Road,2015
204,https://www.imdb.com/title/tt3315342/,205,Logan,2017
205,https://www.imdb.com/title/tt1028532/,206,Hachi: A Dog's Tale,2009
206,https://www.imdb.com/title/tt1979320/,207,Rush,2013
207,https://www.imdb.com/title/tt0116231/,208,The Bandit,1996
208,https://www.imdb.com/title/tt0046268/,209,The Wages of Fear,1953
209,https://www.imdb.com/title/tt0264464/,210,Catch Me If You Can,2002
210,https://www.imdb.com/title/tt0053198/,211,The 400 Blows,1959
211,https://www.imdb.com/title/tt1895587/,212,Spotlight,2015
212,https://www.imdb.com/title/tt0245712/,213,Amores Perros,2000
213,https://www.imdb.com/title/tt1201607/,214,Harry Potter and the Deathly Hallows: Part 2,2011
214,https://www.imdb.com/title/tt0060107/,215,Andrei Rublev,1966
215,https://www.imdb.com/title/tt0087544/,216,Nausicaä of the Valley of the Wind,1984
216,https://www.imdb.com/title/tt0019254/,217,The Passion of Joan of Arc,1928
217,https://www.imdb.com/title/tt0093779/,218,The Princess Bride,1987
218,https://www.imdb.com/title/tt0072684/,219,Barry Lyndon,1975
219,https://www.imdb.com/title/tt0075148/,220,Rocky,1976
220,https://www.imdb.com/title/tt0169858/,221,Neon Genesis Evangelion: The End of Evangelion,1997
221,https://www.imdb.com/title/tt0064115/,222,Butch Cassidy and the Sundance Kid,1969
222,https://www.imdb.com/title/tt0198781/,223,"Monsters, Inc",2001
223,https://www.imdb.com/title/tt0405508/,224,Rang De Basanti,2006
224,https://www.imdb.com/title/tt0097165/,225,Dead Poets Society,1989
225,https://www.imdb.com/title/tt0032551/,226,The Grapes of Wrath,1940
226,https://www.imdb.com/title/tt0088247/,227,The Terminator,1984
227,https://www.imdb.com/title/tt4016934/,228,The Handmaiden,2016
228,https://www.imdb.com/title/tt0033870/,229,The Maltese Falcon,1941
229,https://www.imdb.com/title/tt0113247/,230,La Haine,1995
230,https://www.imdb.com/title/tt0083987/,231,Gandhi,1982
231,https://www.imdb.com/title/tt0118694/,232,In the Mood for Love,2000
232,https://www.imdb.com/title/tt0246578/,233,Donnie Darko,2001
233,https://www.imdb.com/title/tt0107048/,234,Groundhog Day,1993
234,https://www.imdb.com/title/tt1454029/,235,The Help,2011
235,https://www.imdb.com/title/tt0032138/,236,The Wizard of Oz,1939
236,https://www.imdb.com/title/tt2015381/,237,Guardians of the Galaxy,2014
237,https://www.imdb.com/title/tt0046911/,238,Diabolique,1955
238,https://www.imdb.com/title/tt0073195/,239,Jaws,1975
239,https://www.imdb.com/title/tt0381681/,240,Before Sunset,2004
240,https://www.imdb.com/title/tt0092067/,241,Castle in the Sky,1986
241,https://www.imdb.com/title/tt0325980/,242,Pirates of the Caribbean: The Curse of the Black Pearl,2003
242,https://www.imdb.com/title/tt0101414/,243,Beauty and the Beast,1991
243,https://www.imdb.com/title/tt0101640/,244,Raise the Red Lantern,1991
244,https://www.imdb.com/title/tt0087884/,245,"Paris, Texas",1984
245,https://www.imdb.com/title/tt0070047/,246,The Exorcist,1973
246,https://www.imdb.com/title/tt0094625/,247,Akira,1988
247,https://www.imdb.com/title/tt2338151/,248,PK,2014
248,https://www.imdb.com/title/tt0072890/,249,Dog Day Afternoon,1975
249,https://www.imdb.com/title/tt1865505/,250,Song of the Sea,2014
